gene_symbol,n_lines_expression,mean_log_tpm,median_log_tpm,frac_expressed,frac_high_expressed
ANAPC11,1775,7.177305940112676,7.209073,1.0,1.0
TRIM34,1775,2.170699472498028,2.3605301,0.7988732394366197,0.28169014084507044
DCAF7,1775,5.465763167267607,5.486547,1.0,0.9943661971830986
TRIM2,1775,3.0804305779521126,3.158862,0.8591549295774648,0.5414084507042254
PTK2B,1775,3.0436512810140846,2.700564,0.9138028169014084,0.4473239436619718
LRR1,1775,4.836890309126761,4.897623,1.0,0.9819718309859155
UBE2H,1775,5.499338504,5.509791,1.0,0.9938028169014085
TRAF6,1775,2.4747244282760565,2.474444,0.9954929577464788,0.13802816901408452
ASB16,1775,1.0050415100276056,0.9146242,0.4332394366197183,0.0067605633802816905
RING1,1775,4.9981893018028165,5.0279856,1.0,0.9971830985915493
RNF187,1775,5.385938212845071,5.351763,1.0,0.9983098591549295
FBXL13,1775,0.9319939411515493,0.63364416,0.27605633802816903,0.05971830985915493
CUL5,1775,3.7207753189577466,3.7854354,0.9988732394366198,0.8676056338028169
NSMCE1,1775,5.776895702197183,5.796304,1.0,0.9994366197183099
UBE2E1,1775,6.8412560326309855,6.8812976,0.9988732394366198,0.9971830985915493
FBXL4,1775,2.9075485348169017,2.9358218,0.9988732394366198,0.4445070422535211
TBL1X,1775,3.1550024087977464,3.2248552,0.9538028169014084,0.6045070422535211
PRAMEF14,1775,0.011182918428169014,0.0,0.0011267605633802818,0.0
NF2,1775,3.7558849059543657,3.6961274,0.9898591549295774,0.811830985915493
DDB2,1775,4.771502644225352,4.7783556,1.0,0.9594366197183098
RNF31,1775,4.623667268845071,4.652062,1.0,0.9830985915492958
RNF128,1775,1.6479788379160563,0.48887384,0.4230985915492958,0.2591549295774648
WWP1,1775,4.48941259971831,4.4813895,1.0,0.9707042253521126
ASB1,1775,4.0988273799999995,4.0697794,1.0,0.931830985915493
FBH1,1775,4.924162952957747,4.9625955,1.0,0.9960563380281691
USP5,1775,5.4741081710422534,5.510367,1.0,0.9977464788732394
DCST1,1775,0.08138317147661972,0.035733692,0.004507042253521127,0.0005633802816901409
